"subject","focal","position","pos_num","x","x_lab","y","y_mc","manip_ok","comp","inv_app","inv_dl","inv_cat","x_brand","x_pop","x_rep","x_other_brand","x_other_rep","x_other_pop"
7961,"rep","first",1,0,"low",5,0.953156823,1,0,0.004801097,0.306693989,0.519791667,0,0,0,0,NA,0
7961,"pop","second",2,0,"low",6,1.474541752,1,1,0.004801097,0.306693989,0.519791667,0,0,0,0,0,NA
7961,"brand","third",3,0,"low",7,2.032586558,1,1,0.004801097,0.306693989,0.519791667,0,0,0,NA,0,0
7963,"brand","first",1,1,"high",6,1.032586558,1,0,0.004801097,1.306693989,-0.480208333,1,1,0,NA,0,1
7963,"pop","second",2,1,"high",2,-2.525458248,1,1,0.004801097,1.306693989,-0.480208333,1,1,0,1,0,NA
7963,"rep","third",3,0,"low",1,-3.046843177,1,1,0.004801097,1.306693989,-0.480208333,1,1,0,1,NA,1
7965,"pop","first",1,1,"high",4,-0.525458248,1,0,0.004801097,-0.359972678,-1.105208333,1,1,1,1,1,NA
7965,"brand","second",2,1,"high",4,-0.967413442,1,1,0.004801097,-0.359972678,-1.105208333,1,1,1,NA,1,1
7965,"rep","third",3,1,"high",4,-0.046843177,1,1,0.004801097,-0.359972678,-1.105208333,1,1,1,1,NA,1
7966,"rep","first",1,1,"high",6,1.953156823,1,0,0.004801097,0.973360656,-0.355208333,1,1,1,1,NA,1
7966,"brand","second",2,1,"high",5,0.032586558,0,1,0.004801097,0.973360656,-0.355208333,1,1,1,NA,1,1
7966,"pop","third",3,1,"high",3,-1.525458248,0,1,0.004801097,0.973360656,-0.355208333,1,1,1,1,1,NA
7967,"brand","first",1,1,"high",7,2.032586558,1,0,1.004801097,-1.359972678,-0.855208333,1,1,1,NA,1,1
7967,"rep","second",2,1,"high",4,-0.046843177,1,1,1.004801097,-1.359972678,-0.855208333,1,1,1,1,NA,1
7967,"pop","third",3,1,"high",5,0.474541752,0,1,1.004801097,-1.359972678,-0.855208333,1,1,1,1,1,NA
7969,"pop","first",1,1,"high",4,-0.525458248,0,0,-2.328532236,-1.026639344,-1.105208333,0,1,1,0,1,NA
7969,"brand","second",2,0,"low",6,1.032586558,1,1,-2.328532236,-1.026639344,-1.105208333,0,1,1,NA,1,1
7969,"rep","third",3,1,"high",4,-0.046843177,1,1,-2.328532236,-1.026639344,-1.105208333,0,1,1,0,NA,1
7970,"brand","first",1,1,"high",7,2.032586558,1,0,1.671467764,0.306693989,-1.230208333,1,1,1,NA,1,1
7970,"rep","second",2,1,"high",1,-3.046843177,1,1,1.671467764,0.306693989,-1.230208333,1,1,1,1,NA,1
7970,"pop","third",3,1,"high",5,0.474541752,0,1,1.671467764,0.306693989,-1.230208333,1,1,1,1,1,NA
7971,"rep","first",1,0,"low",1,-3.046843177,1,0,-5.328532236,-4.693306011,-0.355208333,1,0,0,1,NA,0
7971,"brand","second",2,1,"high",4,-0.967413442,1,1,-5.328532236,-4.693306011,-0.355208333,1,0,0,NA,0,0
7971,"pop","third",3,0,"low",5,0.474541752,0,1,-5.328532236,-4.693306011,-0.355208333,1,0,0,1,0,NA
7972,"pop","first",1,0,"low",5,0.474541752,0,0,-0.995198903,0.306693989,-0.730208333,0,0,1,0,1,NA
7972,"rep","second",2,1,"high",3,-1.046843177,0,1,-0.995198903,0.306693989,-0.730208333,0,0,1,0,NA,0
7972,"brand","third",3,0,"low",4,-0.967413442,1,1,-0.995198903,0.306693989,-0.730208333,0,0,1,NA,1,0
7974,"brand","first",1,1,"high",7,2.032586558,1,0,0.338134431,1.306693989,1.894791667,1,1,1,NA,1,1
7974,"pop","second",2,1,"high",4,-0.525458248,1,1,0.338134431,1.306693989,1.894791667,1,1,1,1,1,NA
7974,"rep","third",3,1,"high",2,-2.046843177,1,1,0.338134431,1.306693989,1.894791667,1,1,1,1,NA,1
7975,"brand","first",1,0,"low",6,1.032586558,0,0,1.004801097,1.306693989,1.519791667,0,1,0,NA,0,1
