"focal","first_exposure","se_first","average_all_three","se_average"
"brand",1.4391590884126,0.219945561734362,1.04987946000694,0.122378378777903
"rep",0.683681006774386,0.221648753157132,0.847592682457103,0.122342339781283
"pop",0.450205061132853,0.196720589026304,0.221248730787202,0.122246127285381
