"contrast","focal","position","estimate","SE","df","t.ratio","p.value"
"high - low","brand","first",1.42607753721925,0.21995149139882,1280.13052422689,6.48360021634707,1.27564679958802e-10
"high - low","rep","first",0.687943976590742,0.221698000713534,1282.00114619062,3.10306802215896,0.00195713341361453
"high - low","pop","first",0.459669171532133,0.196811566709562,1279.33607225671,2.33558006380019,0.0196670252871348
"high - low","brand","second",0.887822616454032,0.198306386837157,1279.10789317852,4.47702482312425,8.24340577327867e-06
"high - low","rep","second",0.617665991143662,0.223722223075957,1277.80622496817,2.76086113686594,0.00584739942046923
"high - low","pop","second",-0.228674916365153,0.214584424853527,1280.29901821665,-1.06566409244867,0.286776437213321
"high - low","brand","third",0.932110285929596,0.219398024203048,1280.31725212458,4.24848988187308,2.30795711097454e-05
"high - low","rep","third",1.12247907547159,0.194024529614987,1281.66509612719,5.78524312208863,9.09047025688304e-09
"high - low","pop","third",0.387588843312297,0.226430432698548,1284.92174821712,1.71173476415293,0.0871868709167329
