"focal","n","mean_raw","mean_centred","max_dev"
"brand",491,4.96741344195519,-4.48064673696786e-11,4.48061587832171e-11
"rep",491,4.04684317718941,1.89409402415845e-10,1.8940982116078e-10
"pop",491,4.52545824847251,4.72505058219103e-10,4.72505257143041e-10
