"sample","n_resp","brand","rep","pop","brand_minus_rep_all","p_all","brand_minus_rep_first","p_first"
"all 491",491,1.04987946000694,0.847592682457103,0.221248730787202,0.20228677754984,0.239776579243451,0.75547808163821,0.0314222626402443
"without the 18 imputed",473,1.09598757901583,0.885802130113158,0.236086522528347,0.21018544890267,0.231060395512869,0.746615980808785,0.0385910062081623
