"model","term","estimate","se","statistic","p_value","n","r2","adj_r2","sig"
"M1_rep","(Intercept)",3.86913810976454,0.186825497778937,20.7099039251202,1.32869282576185e-44,149,0.095231521353854,0.0503139373075914,"***"
"M1_rep","x_rep",0.498617099106182,0.262587793728328,1.89885863324648,0.0596260054432891,149,0.095231521353854,0.0503139373075914,"*"
"M1_rep","inv_app_mc",0.0950168753478591,0.176581695124127,0.538090175661001,0.591363157035812,149,0.095231521353854,0.0503139373075914,""
"M1_rep","inv_dl_mc",-0.212220292501453,0.156735708856849,-1.35400091050904,0.177902262966357,149,0.095231521353854,0.0503139373075914,""
"M1_rep","inv_cat_mc",0.351149348060017,0.20203659809875,1.73804821188083,0.0843854742143113,149,0.095231521353854,0.0503139373075914,"*"
"M1_rep","x_rep:inv_app_mc",0.217204402286096,0.267548035835397,0.811833290451537,0.418255717254914,149,0.095231521353854,0.0503139373075914,""
"M1_rep","x_rep:inv_dl_mc",0.38613965490091,0.232552300459639,1.66044220649594,0.0990477658100969,149,0.095231521353854,0.0503139373075914,"*"
"M1_rep","x_rep:inv_cat_mc",-0.106427391361241,0.274858401401781,-0.387208070841059,0.699185999357472,149,0.095231521353854,0.0503139373075914,""
"M1_pop","(Intercept)",4.6345838773764,0.151613169337311,30.5684783032621,2.17172772906204e-73,189,0.138976263825881,0.10567700331086,"***"
"M1_pop","x_pop",0.361101558360664,0.214780442978587,1.68125902597503,0.0944373078085607,189,0.138976263825881,0.10567700331086,"*"
"M1_pop","inv_app_mc",0.358095169909146,0.160625894353563,2.22937385874361,0.0270189582835274,189,0.138976263825881,0.10567700331086,"**"
"M1_pop","inv_dl_mc",-0.229192539512301,0.123481410251924,-1.85608942305329,0.0650664115590242,189,0.138976263825881,0.10567700331086,"*"
"M1_pop","inv_cat_mc",0.221628866885311,0.144544220214723,1.53329456242579,0.126949334784952,189,0.138976263825881,0.10567700331086,""
"M1_pop","x_pop:inv_app_mc",-0.0578960966546585,0.232771777920791,-0.248724725874456,0.803855715136143,189,0.138976263825881,0.10567700331086,""
"M1_pop","x_pop:inv_dl_mc",0.103271992385554,0.16632704587802,0.620897171836326,0.535448368070432,189,0.138976263825881,0.10567700331086,""
"M1_pop","x_pop:inv_cat_mc",0.0654525934837389,0.200508195501392,0.326433507219331,0.744473530610951,189,0.138976263825881,0.10567700331086,""
"M1_brand","(Intercept)",4.13416518152271,0.173726893442608,23.7969211306277,6.23589651242545e-52,153,0.288508834437215,0.254160985065218,"***"
"M1_brand","x_brand",1.52888945859731,0.235536944404283,6.4910813140765,1.26681894072003e-09,153,0.288508834437215,0.254160985065218,"***"
"M1_brand","inv_app_mc",0.232754238768567,0.155210323164277,1.49960540010097,0.135890797826218,153,0.288508834437215,0.254160985065218,""
