"x_f_revpairwise","focal_pairwise","position","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"high - low","brand - rep","first",0.738133560628511,0.312408008461169,1281.77319871859,-0.0107480135814606,1.48701513483848,2.36272291566514,0.0365798050622765
"high - low","brand - pop","first",0.966408365687119,0.295397287254597,1280.50072076166,0.258302720326098,1.67451401104814,3.27155463974925,0.00329423012608094
"high - low","rep - pop","first",0.228274805058608,0.29637573751033,1281.68068607711,-0.482175452011655,0.938725062128871,0.770220959975349,0.441310773472258
"high - low","brand - rep","second",0.270156625310371,0.298950532363681,1277.621255137,-0.446468734890782,0.986781985511523,0.903683372544453,0.366333672678525
"high - low","brand - pop","second",1.11649753281919,0.292112020219989,1278.41948625817,0.416265599152706,1.81672946648567,3.8221553908612,0.000415959242023736
"high - low","rep - pop","second",0.846340907508815,0.31005361197068,1278.91397314842,0.103100935873319,1.58958087914431,2.7296598872999,0.0128539076939307
"high - low","brand - rep","third",-0.19036878954199,0.292997738801473,1281.26714400399,-0.892721852980385,0.511984273896404,-0.649727845411732,0.515984496797281
"high - low","brand - pop","third",0.5445214426173,0.315419611202381,1284.90398624159,-0.211576903337356,1.30061978857195,1.72633984469634,0.169053333567829
"high - low","rep - pop","third",0.73489023215929,0.298318921309725,1284.60795550329,0.0197840589430545,1.44999640537553,2.463438218846,0.0416744057764146
