"estimand","focal","unit","estimate","se","df","ci90_lo","ci90_hi","flip_point","band_lo","band_hi","p_value","verdict","position"
"brand effect, app shown first","brand","points",1.4391590884126,0.219945561734362,1280.78312303262,1.07711897001708,1.80119920680812,1.80119920680812,0.263111348993182,0.333949019875962,8.68249901651439e-11,"effect present","first"
"brand effect, app shown second","brand","points",0.880859483883934,0.198257701448408,1280.50131137481,0.554518490352358,1.20720047741551,1.20720047741551,0.263111348993182,0.333949019875962,9.63718093337235e-06,"effect present","second"
"brand effect, app shown third","brand","points",0.917566572106492,0.219326058974609,1281.97295649336,0.556546425175895,1.27858671903709,1.27858671903709,0.263111348993182,0.333949019875962,3.06494652020129e-05,"effect present","third"
"rep effect, app shown first","rep","points",0.683681006774386,0.221648753157132,1283.33457523451,0.318837885033581,1.04852412851519,1.04852412851519,0.283257708726059,0.359519399536921,0.00208233409315194,"effect present","first"
"rep effect, app shown second","rep","points",0.63473344542646,0.223736290563744,1278.20438597336,0.266453081991432,1.00301380886149,1.00301380886149,0.283257708726059,0.359519399536921,0.00462626229990236,"effect present","second"
"rep effect, app shown third","rep","points",1.12825432515364,0.193937738534205,1283.62695707533,0.809024745470736,1.44748390483654,1.44748390483654,0.283257708726059,0.359519399536921,7.52895516844489e-09,"effect present","third"
"pop effect, app shown first","pop","points",0.450205061132853,0.196720589026304,1281.44550949488,0.126394395743213,0.774015726522493,0.774015726522493,0.26,0.33,0.0222676170213646,"effect present","first"
"pop effect, app shown second","pop","points",-0.216774275060019,0.214489915767821,1282.34363533186,-0.56983384801185,0.136285297891812,0.56983384801185,0.26,0.33,0.312374538249272,"inconclusive","second"
"pop effect, app shown third","pop","points",0.397232896545032,0.226398382181514,1285.88923369704,0.0245722215255685,0.769893571564495,0.769893571564495,0.26,0.33,0.0795702236829532,"inconclusive","third"
