"sample","focal","estimate","se","ci_lo","ci_hi","p_value"
"all respondents","brand",1.05276714049467,0.122417747090884,0.812603339033785,1.29293094195556,2.32170411151995e-17
"all respondents","rep",0.842476742244328,0.122383441455589,0.602380406996372,1.08257307749228,9.13460970154198e-12
"all respondents","pop",0.218067552428463,0.122285589952816,-0.0218368824685484,0.457971987325474,0.0747824818925111
"low-quality respondents removed","brand",1.08217539433109,0.127210115970278,0.832596143342476,1.3317546453197,5.25293840967913e-17
"low-quality respondents removed","rep",0.891454798865543,0.127167137387392,0.641960031104786,1.1409495666263,3.96530860854873e-12
"low-quality respondents removed","pop",0.23335823839291,0.12711270994841,-0.0160297575957322,0.482746234381553,0.0666291768955265
