"contrast","focal","comp_f","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"high - low","brand","shown_first",1.41978948920916,0.219938318592887,1271.53611202826,0.98830758862802,1.85127138979029,6.45539848759702,1.53183095780161e-10
"high - low","rep","shown_first",0.686565818633945,0.221683780186961,1274.71974690302,0.251660651561185,1.1214709857067,3.09705030316119,0.00199724203586391
"high - low","pop","shown_first",0.452336260753285,0.196760485868215,1273.04107070018,0.0663257950900357,0.838346726416535,2.29891819364711,0.0216709210354128
"high - low","brand","after_others",0.891180298587539,0.147145347365522,1274.27005210908,0.602506525119056,1.17985407205602,6.05646263740687,1.82833169988231e-09
"high - low","rep","after_others",0.922284820715937,0.146456191622811,1275.06160802096,0.634963221441667,1.20960641999021,6.29734264216856,4.15836977851407e-10
"high - low","pop","after_others",0.0694449202173593,0.155716585452331,1276.23856516485,-0.236043694960658,0.374933535395377,0.445969965342055,0.655694588983082
