"model","n_rows_file","n_used","r2","adj_r2","f_stat","df1","df2","f_pvalue","sigma","manip_check_pct"
"M1_rep",149,149,0.095231521353854,0.0503139373075914,2.1201389917982,7,141,0.0451755340521698,1.59120141939758,75.8389261744966
"M1_pop",189,189,0.138976263825881,0.10567700331086,4.1735540572497,7,181,0.000276324908190568,1.46820210999328,62.4338624338624
"M1_brand",153,153,0.288508834437215,0.254160985065218,8.3996185994816,7,145,1.33193545584827e-08,1.41765654286405,68.6274509803922
"M2_rep",196,196,0.187422040786331,0.138844010615948,3.85816469150699,11,184,5.09319344933101e-05,1.59764343644319,79.0816326530612
"M2_pop",143,143,0.141654527015891,0.0695797163073013,1.96538188062157,11,131,0.0368058087607871,1.5472265777265,55.9440559440559
"M2_brand",152,152,0.153344414588348,0.0868214757345757,2.30513590094722,11,140,0.0125753937713213,1.51504444886235,63.1578947368421
"M3_rep",491,491,0.0980002401487207,0.0811229057648091,5.80661838649944,9,481,1.09224647576737e-07,1.63866601060977,77.1894093686354
"M3_pop",491,491,0.105583919984744,0.088848483976143,6.30900323902393,9,481,1.84036095594949e-08,1.49778212765398,60.4887983706721
"M3_brand",491,491,0.155523571083663,0.139722556821196,9.84263215641029,9,481,6.8032620821691e-14,1.47278327657064,67.4134419551935
