"x_f_revpairwise","focal_revpairwise","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"high - low","rep - brand",-0.20228677754984,0.171997443874745,1255.14918933488,-0.614597936011095,0.210024380911416,-1.17610339428738,0.239776579243451
"high - low","pop - brand",-0.828630729219741,0.173951626459642,1280.64513050599,-1.24561529798649,-0.411646160452997,-4.76356988482651,6.35657676773099e-06
"high - low","pop - rep",-0.626343951669901,0.171253303055891,1245.45231185198,-1.0368755511122,-0.215812352227604,-3.65741238559051,0.000530810974243788
