"contrast","focal","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"high - low","brand",1.04987946000694,0.122378378777903,1267.99656942863,0.809793074692889,1.289965845321,8.5789619906005,2.75328517473169e-17
"high - low","rep",0.847592682457103,0.122342339781283,1268.95159273214,0.607577172352947,1.08760819256126,6.92804048028168,6.76710728248954e-12
"high - low","pop",0.221248730787202,0.122246127285381,1268.53060585814,-0.0185781022411929,0.461075563815596,1.80986290281983,0.0705536260160497
