"cue","M1_estimate","M1_se","M3_estimate","M3_se","pooled_estimate","pooled_se"
"brand",1.52888945859732,0.235536944404283,1.50281893729599,0.240947673811179,1.4391590884126,0.219945561734362
"rep",0.498617099106183,0.262587793728328,0.457599119666572,0.268971450134446,0.683681006774386,0.221648753157132
"pop",0.361101558360664,0.214780442978587,0.367730518894325,0.218383474257872,0.450205061132853,0.196720589026304
