"sample","focal","estimate","SE","lower.CL","upper.CL","p.value"
"all observations (N=1473)","brand",1.04987946000694,0.122378378777903,0.809793074692889,1.289965845321,2.75328517473169e-17
"all observations (N=1473)","rep",0.847592682457103,0.122342339781283,0.607577172352947,1.08760819256126,6.76710728248954e-12
"all observations (N=1473)","pop",0.221248730787202,0.122246127285381,-0.0185781022411929,0.461075563815596,0.0705536260160497
"box ticked only (N=1007)","brand",1.38220628866094,0.156629074241615,1.07480945552723,1.68960312179466,5.5451594254646e-18
"box ticked only (N=1007)","rep",1.11204135541172,0.144571120327444,0.828300850177082,1.39578186064635,3.83965315469998e-14
"box ticked only (N=1007)","pop",0.493785034817294,0.161857554207269,0.176097882963897,0.811472186670691,0.00235366302892202
"subjects ticking 3/3 (N=489)","brand",1.34695822816215,0.207676171595364,0.938742978026595,1.7551734782977,2.48621876708408e-10
"subjects ticking 3/3 (N=489)","rep",1.24136328764707,0.206729271098844,0.835009109523775,1.64771746577037,4.15356035266805e-09
"subjects ticking 3/3 (N=489)","pop",0.505877637280291,0.206064565068444,0.100828498737365,0.910926775823217,0.0144960561482421
