"variable","chisq","df","p_value","aic_common","aic_by_group"
"age",8.55646459744639,6,0.200101194742504,5266.38659293908,5269.83012834164
"gender",11.4763190372141,12,0.488598061848412,5266.38659293908,5278.91027390187
"education",23.8026264776863,18,0.161600994347903,5266.38659293908,5278.5839664614
"occupation",18.9446491317722,12,0.0898730087391111,5266.38659293908,5271.44194380731
