"model","term","estimate","se","df","p_value","reading"
"A: prior mean level","prior_mean_x",-0.174777261603405,0.123877927903569,802.918169065815,0.158666444221616,"contrast"
"B: interaction with history","prior_mean_x",-0.337719823871644,0.162659930032114,968.320124961491,0.0381358042828716,"contrast"
"B: interaction with history","x:prior_mean_x",0.326284751340878,0.211862057576922,862.235830589024,0.123907475969488,"-"
"C: immediate predecessor","prev_x",-0.123712483406568,0.0938201457562432,942.548770837164,0.187618759404431,"contrast"
"C: immediate predecessor","prev_focalrep",-0.186961236322053,0.123286055200034,653.576132233183,0.129880702870482,"-"
"C: immediate predecessor","prev_focalpop",-0.125617100227619,0.117963603479649,622.323211297322,0.287343151200583,"-"
