"term","raw","centred","se_raw","se_centred","difference"
"(Intercept)",4.55607369845876,-0.411339743566445,0.105515872812862,0.105515872812054,-4.96741344202521
"focalrep",-0.772954541830788,0.147615723175694,0.115022957577478,0.115022957559323,0.920570265006483
"focalpop",-0.014153496374548,0.427801697609969,0.116838898329319,0.116838898311567,0.441955193984517
"x_fhigh",1.05276714049467,1.05276714054178,0.121897629032087,0.121897629017628,4.7110759737734e-11
"positionsecond",-0.138798111484371,-0.138798111483585,0.0758889054941912,0.0758889054787753,7.85593812224761e-13
"positionthird",-0.205280025181178,-0.205280025180145,0.0761007237049315,0.0761007236894775,1.03295150211125e-12
"inv_app",0.179056532665961,0.179056532666293,0.0480468742776979,0.0480468742972176,3.32511795875234e-13
"inv_dl",-0.0772456201108106,-0.0772456201108568,0.0411354489594402,0.0411354489761497,-4.61852778244065e-14
"inv_cat",0.138764464937592,0.138764464937274,0.0445214334447223,0.0445214334628107,-3.17884607525798e-13
"focalrep:x_fhigh",-0.210290398250344,-0.210290398260217,0.171325820930327,0.171325820909306,-9.87326886914275e-12
"focalpop:x_fhigh",-0.834699588066208,-0.834699588033593,0.173267514895071,0.173267514875223,3.26150217944132e-11
