"model","term","estimate","se","p_value","mde","mde_sd"
"M2_rep","x_rep:x_brand",0.166029704898684,0.467383681499774,0.722822559790138,1.30941521327699,0.765963856845268
"M2_rep","x_rep:x_pop",-0.370776924094191,0.460662572258746,0.421929186971965,1.290585452978,0.754949080420006
"M2_pop","x_pop:x_brand",0.391589871675664,0.546477475585016,0.474914448831872,1.53100321763067,0.975720615404162
"M2_pop","x_pop:x_rep",-0.743727023284607,0.539234699138088,0.170174908614994,1.51071196219886,0.962788835765
"M2_brand","x_brand:x_rep",0.25101267257724,0.507205284780281,0.621450980359933,1.42097882838921,0.894879292391973
"M2_brand","x_brand:x_pop",-0.67655275922787,0.511096912069673,0.18775117080988,1.43188155387758,0.901745420919188
