lfdn,inv_app,inv_dl,inv_cat,y_pop_1,x_pop,man_check_pop,inv_app_mc,inv_dl_mc,inv_cat_mc
8133,4.666666667,5.666666667,5.125,3,1,0,-0.661865569,0.973360656,0.644791667
8141,4.333333333,5.333333333,5,4,1,0,-0.995198903,0.640027322,0.519791667
8142,2.333333333,3,2.75,5,0,0,-2.995198903,-1.693306011,-1.730208333
8146,5.666666667,4.666666667,5.375,5,1,1,0.338134431,-0.026639344,0.894791667
8151,5.328532236,6.666666667,1,4,1,1,6.03508E-11,1.973360656,-3.480208333
8150,6.333333333,4.333333333,5.875,5,1,0,1.004801097,-0.359972678,1.394791667
8156,4,2.666666667,1.625,5,0,1,-1.328532236,-2.026639344,-2.855208333
8160,5.333333333,3,4.125,6,0,0,0.004801097,-1.693306011,-0.355208333
8162,6,4.333333333,5.875,7,1,1,0.671467764,-0.359972678,1.394791667
8165,4.666666667,5.666666667,3.25,3,0,0,-0.661865569,0.973360656,-1.230208333
8169,4,3,5.5,6,1,0,-1.328532236,-1.693306011,1.019791667
8177,7,3,6,6,0,1,1.671467764,-1.693306011,1.519791667
8178,4.666666667,2.666666667,2.625,6,1,1,-0.661865569,-2.026639344,-1.855208333
8182,6.333333333,5.666666667,4.375,5,1,0,1.004801097,0.973360656,-0.105208333
8183,5.333333333,2.666666667,5.25,6,1,0,0.004801097,-2.026639344,0.769791667
8188,6,4,6.375,7,0,0,0.671467764,-0.693306011,1.894791667
8189,5.666666667,6,4.375,5,0,1,0.338134431,1.306693989,-0.105208333
8198,5.666666667,5,4.625,6,0,1,0.338134431,0.306693989,0.144791667
8200,5.666666667,7,4.480208333,5,1,0,0.338134431,2.306693989,-3.33333E-10
8207,5.666666667,4.666666667,4.25,6,0,1,0.338134431,-0.026639344,-0.230208333
8203,5,3.666666667,2.5,5,1,0,-0.328532236,-1.026639344,-1.980208333
8208,6.666666667,4.333333333,4.25,4,0,0,1.338134431,-0.359972678,-0.230208333
8209,6,4.666666667,5.375,2,0,1,0.671467764,-0.026639344,0.894791667
8213,4.666666667,3.333333333,3.625,4,0,1,-0.661865569,-1.359972678,-0.855208333
8214,7,2,6.125,7,0,0,1.671467764,-2.693306011,1.644791667
8216,6.333333333,3.666666667,5,3,0,1,1.004801097,-1.026639344,0.519791667
8217,7,5,5.5,7,1,1,1.671467764,0.306693989,1.019791667
8222,6,5.333333333,4.75,6,1,1,0.671467764,0.640027322,0.269791667
8225,4,2,5,7,0,0,-1.328532236,-2.693306011,0.519791667
8226,6,5.333333333,4.625,5,1,1,0.671467764,0.640027322,0.144791667
8256,3.666666667,4,4,4,0,0,-1.661865569,-0.693306011,-0.480208333
8229,5.333333333,3.333333333,3.375,5,0,1,0.004801097,-1.359972678,-1.105208333
8232,3.666666667,4.333333333,5.25,3,0,1,-1.661865569,-0.359972678,0.769791667
8233,7,5,4.75,5,0,0,1.671467764,0.306693989,0.269791667
8237,5.666666667,3.666666667,4.75,3,1,1,0.338134431,-1.026639344,0.269791667
8239,6.333333333,5.666666667,5.75,4,0,0,1.004801097,0.973360656,1.269791667
8241,4.666666667,4.333333333,4.480208333,6,1,1,-0.661865569,-0.359972678,-3.33333E-10
8243,3,6,4.875,7,1,0,-2.328532236,1.306693989,0.394791667
8248,7,6.333333333,6.875,5,1,1,1.671467764,1.640027322,2.394791667
8249,4.666666667,4.333333333,5.625,4,0,1,-0.661865569,-0.359972678,1.144791667
8251,6.333333333,2.666666667,3.625,3,1,1,1.004801097,-2.026639344,-0.855208333
8253,3,4.666666667,4.5,6,1,1,-2.328532236,-0.026639344,0.019791667
8257,5.333333333,5.666666667,5.5,6,1,1,0.004801097,0.973360656,1.019791667
8260,5.666666667,4.333333333,1.75,5,0,0,0.338134431,-0.359972678,-2.730208333
8269,6.333333333,6.333333333,4.5,4,1,0,1.004801097,1.640027322,0.019791667
8271,6,7,7,6,1,1,0.671467764,2.306693989,2.519791667
8272,5.666666667,1,4.125,4,1,1,0.338134431,-3.693306011,-0.355208333
8273,5.666666667,5,4.5,5,1,0,0.338134431,0.306693989,0.019791667
8283,4.666666667,3.666666667,3.375,4,1,1,-0.661865569,-1.026639344,-1.105208333
8285,6,7,4,5,0,0,0.671467764,2.306693989,-0.480208333
8293,4.666666667,4,4,3,0,1,-0.661865569,-0.693306011,-0.480208333
8300,4.666666667,3.666666667,6.25,5,1,0,-0.661865569,-1.026639344,1.769791667
8301,4,5,4,2,1,1,-1.328532236,0.306693989,-0.480208333
8305,4.666666667,3,2.75,5,0,1,-0.661865569,-1.693306011,-1.730208333
8307,5,5.333333333,5.5,4,1,1,-0.328532236,0.640027322,1.019791667
8310,5.666666667,5,4.375,6,1,1,0.338134431,0.306693989,-0.105208333
8312,5.666666667,5.666666667,5.625,5,0,0,0.338134431,0.973360656,1.144791667
8321,7,5.666666667,4.375,6,1,0,1.671467764,0.973360656,-0.105208333
8322,5.333333333,6.333333333,5,3,1,1,0.004801097,1.640027322,0.519791667
8329,4.666666667,5.333333333,4.875,4,0,0,-0.661865569,0.640027322,0.394791667
8334,3.666666667,6.333333333,2.625,4,1,1,-1.661865569,1.640027322,-1.855208333
8338,5.333333333,3.333333333,5.125,6,1,1,0.004801097,-1.359972678,0.644791667
8342,4.666666667,3,4.5,5,0,1,-0.661865569,-1.693306011,0.019791667
8349,2.333333333,6.333333333,2.5,2,0,0,-2.995198903,1.640027322,-1.980208333
8360,5.333333333,3.666666667,4.125,6,0,0,0.004801097,-1.026639344,-0.355208333
8361,6,5.333333333,3.875,1,0,1,0.671467764,0.640027322,-0.605208333
8362,5.333333333,3.333333333,5,5,0,0,0.004801097,-1.359972678,0.519791667
