lfdn,inv_app,inv_dl,inv_cat,y_rep_1e2,x_rep,y_pop_1e2,x_pop,y_brand_3,x_brand,man_check_brand,inv_app_mc,inv_dl_mc,inv_cat_mc,ITD_rep,ITD_pop,ITD_rep_2,ITD_pop_2
8118,5,3.333333333,4.125,3,0,2,0,5,1,1,-0.328532236,-1.359972678,-0.355208333,0,0,-1.046843177,-2.525458248
8119,4.333333333,5,6.75,5,1,5,0,5,0,0,-0.995198903,0.306693989,2.269791667,1,1,0.953156823,0.474541752
8124,4.666666667,4.666666667,4.125,1,0,6,1,4,0,0,-0.661865569,-0.026639344,-0.355208333,0,1,-3.046843177,1.474541752
8131,6,5,3.375,4,1,3,1,3,0,1,0.671467764,0.306693989,-1.105208333,0,0,-0.046843177,-1.525458248
8133,4.666666667,5.666666667,5.125,5,0,3,1,6,0,1,-0.661865569,0.973360656,0.644791667,1,0,0.953156823,-1.525458248
8137,5.333333333,6,2.75,3,0,4,0,5,1,1,0.004801097,1.306693989,-1.730208333,0,0,-1.046843177,-0.525458248
8140,5.666666667,3.666666667,4,2,0,5,0,6,0,0,0.338134431,-1.026639344,-0.480208333,0,1,-2.046843177,0.474541752
8146,5.666666667,4.666666667,5.375,5,0,5,1,5,0,1,0.338134431,-0.026639344,0.894791667,1,1,0.953156823,0.474541752
8149,5.328532236,5.333333333,1.75,2,1,4,0,4,1,0,6.04E-11,0.640027322,-2.730208333,0,0,-2.046843177,-0.525458248
8150,6.333333333,4.333333333,5.875,5,1,5,1,3,0,0,1.004801097,-0.359972678,1.394791667,1,1,0.953156823,0.474541752
8152,5,4.333333333,4.125,2,0,2,0,1,1,1,-0.328532236,-0.359972678,-0.355208333,0,0,-2.046843177,-2.525458248
8160,5.333333333,3,4.125,7,0,6,0,4,0,1,0.004801097,-1.693306011,-0.355208333,1,1,2.953156823,1.474541752
8165,4.666666667,5.666666667,3.25,3,1,3,0,3,0,0,-0.661865569,0.973360656,-1.230208333,0,0,-1.046843177,-1.525458248
8167,6,4,5.625,5,1,2,0,5,1,0,0.671467764,-0.693306011,1.144791667,1,0,0.953156823,-2.525458248
8168,5.333333333,3,3.75,4,0,3,1,3,1,0,0.004801097,-1.693306011,-0.730208333,0,0,-0.046843177,-1.525458248
8169,4,3,5.5,6,0,6,1,6,1,1,-1.328532236,-1.693306011,1.019791667,1,1,1.953156823,1.474541752
8173,3.333333333,6,4.125,2,1,2,0,4,0,1,-1.995198903,1.306693989,-0.355208333,0,0,-2.046843177,-2.525458248
8177,7,3,6,5,0,6,0,7,0,1,1.671467764,-1.693306011,1.519791667,1,1,0.953156823,1.474541752
8186,5.666666667,3.333333333,4.125,1,0,2,1,5,0,1,0.338134431,-1.359972678,-0.355208333,0,0,-3.046843177,-2.525458248
8194,6,6.666666667,6.375,3,0,4,0,5,0,0,0.671467764,1.973360656,1.894791667,0,0,-1.046843177,-0.525458248
8195,4.666666667,6,5.5,6,0,5,0,7,1,1,-0.661865569,1.306693989,1.019791667,1,1,1.953156823,0.474541752
8196,4.666666667,3.333333333,4.25,4,1,2,1,5,1,1,-0.661865569,-1.359972678,-0.230208333,0,0,-0.046843177,-2.525458248
8200,5.666666667,7,4.480208333,4,0,5,1,4,1,0,0.338134431,2.306693989,-3.33E-10,0,1,-0.046843177,0.474541752
8203,5,3.666666667,2.5,3,1,5,1,6,0,1,-0.328532236,-1.026639344,-1.980208333,0,1,-1.046843177,0.474541752
8209,6,4.666666667,5.375,2,0,2,0,6,1,1,0.671467764,-0.026639344,0.894791667,0,0,-2.046843177,-2.525458248
8211,4.666666667,3,3.75,2,1,2,1,2,0,1,-0.661865569,-1.693306011,-0.730208333,0,0,-2.046843177,-2.525458248
8213,4.666666667,3.333333333,3.625,5,1,4,0,6,0,1,-0.661865569,-1.359972678,-0.855208333,1,0,0.953156823,-0.525458248
8219,4.333333333,3.666666667,4.375,5,0,4,1,4,1,0,-0.995198903,-1.026639344,-0.105208333,1,0,0.953156823,-0.525458248
8227,6,2.333333333,2.875,3,0,4,0,6,1,1,0.671467764,-2.359972678,-1.605208333,0,0,-1.046843177,-0.525458248
8230,6.333333333,5.333333333,5.5,5,1,5,1,3,0,1,1.004801097,0.640027322,1.019791667,1,1,0.953156823,0.474541752
8233,7,5,4.75,4,0,5,0,7,1,1,1.671467764,0.306693989,0.269791667,0,1,-0.046843177,0.474541752
8236,6.333333333,3,3.75,4,0,4,0,6,1,1,1.004801097,-1.693306011,-0.730208333,0,0,-0.046843177,-0.525458248
8239,6.333333333,5.666666667,5.75,4,0,4,0,5,0,1,1.004801097,0.973360656,1.269791667,0,0,-0.046843177,-0.525458248
8243,3,6,4.875,7,0,7,1,4,0,1,-2.328532236,1.306693989,0.394791667,1,1,2.953156823,2.474541752
8245,4.333333333,3.333333333,4.625,4,1,3,1,6,1,0,-0.995198903,-1.359972678,0.144791667,0,0,-0.046843177,-1.525458248
8248,7,6.333333333,6.875,1,0,5,1,6,1,0,1.671467764,1.640027322,2.394791667,0,1,-3.046843177,0.474541752
8252,4,6,3.875,4,1,4,1,4,1,1,-1.328532236,1.306693989,-0.605208333,0,0,-0.046843177,-0.525458248
8253,3,4.666666667,4.5,6,0,6,1,5,1,0,-2.328532236,-0.026639344,0.019791667,1,1,1.953156823,1.474541752
8257,5.333333333,5.666666667,5.5,4,0,6,1,6,1,1,0.004801097,0.973360656,1.019791667,0,1,-0.046843177,1.474541752
8259,5.666666667,6.666666667,3.125,2,0,5,1,4,0,1,0.338134431,1.973360656,-1.355208333,0,1,-2.046843177,0.474541752
8266,1.666666667,4,4.625,6,0,5,1,5,0,0,-3.661865569,-0.693306011,0.144791667,1,1,1.953156823,0.474541752
8269,6.333333333,6.333333333,4.5,3,1,4,1,3,0,1,1.004801097,1.640027322,0.019791667,0,0,-1.046843177,-0.525458248
8272,5.666666667,1,4.125,4,1,4,1,4,0,1,0.338134431,-3.693306011,-0.355208333,0,0,-0.046843177,-0.525458248
8273,5.666666667,5,4.5,5,1,5,1,6,1,1,0.338134431,0.306693989,0.019791667,1,1,0.953156823,0.474541752
8275,6.333333333,6,6.125,4,0,5,0,7,0,1,1.004801097,1.306693989,1.644791667,0,1,-0.046843177,0.474541752
8281,4,5.333333333,4.875,4,0,6,0,7,1,1,-1.328532236,0.640027322,0.394791667,0,1,-0.046843177,1.474541752
8284,4,6,4,2,0,4,0,5,1,1,-1.328532236,1.306693989,-0.480208333,0,0,-2.046843177,-0.525458248
8285,6,7,4,6,0,5,0,2,0,1,0.671467764,2.306693989,-0.480208333,1,1,1.953156823,0.474541752
8289,7,6,4.480208333,3,0,4,0,6,1,0,1.671467764,1.306693989,-3.33E-10,0,0,-1.046843177,-0.525458248
8293,4.666666667,4,4,2,0,3,0,2,0,1,-0.661865569,-0.693306011,-0.480208333,0,0,-2.046843177,-1.525458248
8294,5.333333333,4.666666667,3.75,4,1,3,0,4,1,1,0.004801097,-0.026639344,-0.730208333,0,0,-0.046843177,-1.525458248
8298,5,5,4.75,1,1,2,1,5,1,1,-0.328532236,0.306693989,0.269791667,0,0,-3.046843177,-2.525458248
8303,4,3.666666667,4.480208333,2,1,5,0,5,0,1,-1.328532236,-1.026639344,-3.33E-10,0,1,-2.046843177,0.474541752
8304,4.666666667,1.666666667,2.5,7,0,7,1,7,0,0,-0.661865569,-3.026639344,-1.980208333,1,1,2.953156823,2.474541752
8310,5.666666667,5,4.375,5,0,6,1,6,1,1,0.338134431,0.306693989,-0.105208333,1,1,0.953156823,1.474541752
8314,5.333333333,5,2,4,1,4,1,4,0,1,0.004801097,0.306693989,-2.480208333,0,0,-0.046843177,-0.525458248
8315,7,5,7,6,0,5,0,6,1,0,1.671467764,0.306693989,2.519791667,1,1,1.953156823,0.474541752
8322,5.333333333,6.333333333,5,1,0,3,1,3,1,0,0.004801097,1.640027322,0.519791667,0,0,-3.046843177,-1.525458248
8324,4.666666667,3,4.125,5,1,3,1,6,0,0,-0.661865569,-1.693306011,-0.355208333,1,0,0.953156823,-1.525458248
8331,5.333333333,4,5.75,5,1,5,1,6,0,0,0.004801097,-0.693306011,1.269791667,1,1,0.953156823,0.474541752
8332,3,3,4.125,2,0,1,1,7,1,0,-2.328532236,-1.693306011,-0.355208333,0,0,-2.046843177,-3.525458248
8333,4,4,4,4,0,4,1,4,1,1,-1.328532236,-0.693306011,-0.480208333,0,0,-0.046843177,-0.525458248
8338,5.333333333,3.333333333,5.125,2,0,6,1,6,1,0,0.004801097,-1.359972678,0.644791667,0,1,-2.046843177,1.474541752
8342,4.666666667,3,4.5,6,1,5,0,6,1,1,-0.661865569,-1.693306011,0.019791667,1,1,1.953156823,0.474541752
8347,5.328532236,3.666666667,3.75,5,0,5,0,5,1,1,6.04E-11,-1.026639344,-0.730208333,1,1,0.953156823,0.474541752
8350,5.333333333,4.333333333,3.25,4,0,5,0,6,1,0,0.004801097,-0.359972678,-1.230208333,0,1,-0.046843177,0.474541752
8357,3.666666667,6,4.625,3,0,2,1,5,0,0,-1.661865569,1.306693989,0.144791667,0,0,-1.046843177,-2.525458248
8359,5.666666667,4.333333333,5.25,5,1,5,0,6,1,1,0.338134431,-0.359972678,0.769791667,1,1,0.953156823,0.474541752
8361,6,5.333333333,3.875,1,0,1,0,1,0,1,0.671467764,0.640027322,-0.605208333,0,0,-3.046843177,-3.525458248
8364,6,3.666666667,3.25,2,0,3,0,3,1,0,0.671467764,-1.026639344,-1.230208333,0,0,-2.046843177,-1.525458248
8366,6,3,5.875,5,0,5,0,5,1,1,0.671467764,-1.693306011,1.394791667,1,1,0.953156823,0.474541752
8368,5.333333333,4,3.625,5,1,6,0,7,1,1,0.004801097,-0.693306011,-0.855208333,1,1,0.953156823,1.474541752
8373,4.666666667,4,5.125,1,0,1,1,1,1,1,-0.661865569,-0.693306011,0.644791667,0,0,-3.046843177,-3.525458248
8375,2.333333333,7,1,1,1,1,1,2,1,1,-2.995198903,2.306693989,-3.480208333,0,0,-3.046843177,-3.525458248
