lfdn,inv_app,inv_dl,inv_cat,y_rep_1e2,x_rep,y_pop_3,x_pop,man_check_pop,y_brand_1e2,x_brand,inv_app_mc,inv_dl_mc,inv_cat_mc,ITD_rep,ITD_brand,ITD_rep_2,ITD_brand_2
8127,4,5,4.625,6,1,5,0,1,5,0,-1.328532236,0.306693989,0.144791667,1,1,1.953156823,0.032586558
8129,6.666666667,5.666666667,4,3,0,2,0,1,7,1,1.338134431,0.973360656,-0.480208333,0,1,-1.046843177,2.032586558
8132,5.666666667,4.333333333,3.25,5,0,5,0,0,5,0,0.338134431,-0.359972678,-1.230208333,1,1,0.953156823,0.032586558
8134,5.333333333,2,3.75,7,1,6,1,0,5,0,0.004801097,-2.693306011,-0.730208333,1,1,2.953156823,0.032586558
8136,5.333333333,4,4.875,1,0,2,0,0,4,1,0.004801097,-0.693306011,0.394791667,0,0,-3.046843177,-0.967413442
8139,3.666666667,4,4.375,2,1,3,1,1,3,0,-1.661865569,-0.693306011,-0.105208333,0,0,-2.046843177,-1.967413442
8143,4,3.666666667,4.125,2,0,4,0,0,5,1,-1.328532236,-1.026639344,-0.355208333,0,1,-2.046843177,0.032586558
8145,6.333333333,4.666666667,5.125,5,1,5,1,1,6,1,1.004801097,-0.026639344,0.644791667,1,1,0.953156823,1.032586558
8147,7,5.333333333,2.25,3,1,1,0,1,5,0,1.671467764,0.640027322,-2.230208333,0,1,-1.046843177,0.032586558
8158,4,3.666666667,4.5,5,0,4,1,1,7,0,-1.328532236,-1.026639344,0.019791667,1,1,0.953156823,2.032586558
8159,6,6.333333333,4.5,4,1,3,0,0,5,0,0.671467764,1.640027322,0.019791667,0,1,-0.046843177,0.032586558
8166,6.333333333,6.333333333,4.875,4,0,4,1,1,2,0,1.004801097,1.640027322,0.394791667,0,0,-0.046843177,-2.967413442
8172,7,5.666666667,5.75,3,1,3,1,0,2,0,1.671467764,0.973360656,1.269791667,0,0,-1.046843177,-2.967413442
8174,4.333333333,4.666666667,4.625,1,1,1,1,0,1,0,-0.995198903,-0.026639344,0.144791667,0,0,-3.046843177,-3.967413442
8179,5.666666667,4.333333333,2.625,5,1,3,0,0,6,1,0.338134431,-0.359972678,-1.855208333,1,1,0.953156823,1.032586558
8180,5.666666667,5.666666667,5.875,4,1,6,1,1,5,1,0.338134431,0.973360656,1.394791667,0,1,-0.046843177,0.032586558
8185,6.333333333,6.333333333,4.625,3,1,1,0,0,5,1,1.004801097,1.640027322,0.144791667,0,1,-1.046843177,0.032586558
8190,6,2,5,5,0,4,0,1,7,0,0.671467764,-2.693306011,0.519791667,1,1,0.953156823,2.032586558
8191,6.666666667,6.333333333,6.5,2,0,4,0,0,5,0,1.338134431,1.640027322,2.019791667,0,1,-2.046843177,0.032586558
8202,4,4.666666667,4.125,5,1,5,1,1,5,0,-1.328532236,-0.026639344,-0.355208333,1,1,0.953156823,0.032586558
8205,6.333333333,4.666666667,4.5,6,0,4,0,1,7,1,1.004801097,-0.026639344,0.019791667,1,1,1.953156823,2.032586558
8206,5.666666667,4,4.125,5,1,4,1,1,4,1,0.338134431,-0.693306011,-0.355208333,1,0,0.953156823,-0.967413442
8210,5,5,4.25,5,0,3,0,1,5,0,-0.328532236,0.306693989,-0.230208333,1,1,0.953156823,0.032586558
8212,5,3,4.5,6,1,3,0,1,6,1,-0.328532236,-1.693306011,0.019791667,1,1,1.953156823,1.032586558
8220,6.666666667,5,6.625,6,1,5,0,0,5,0,1.338134431,0.306693989,2.144791667,1,1,1.953156823,0.032586558
8221,5.328532236,4.666666667,3,2,1,5,0,0,3,1,6.04E-11,-0.026639344,-1.480208333,0,0,-2.046843177,-1.967413442
8223,5.333333333,3.666666667,4.25,6,1,3,1,1,3,1,0.004801097,-1.026639344,-0.230208333,1,0,1.953156823,-1.967413442
8224,4.666666667,6,6.375,1,0,1,0,0,1,0,-0.661865569,1.306693989,1.894791667,0,0,-3.046843177,-3.967413442
8228,4,6.666666667,5.25,6,1,4,1,0,3,0,-1.328532236,1.973360656,0.769791667,1,0,1.953156823,-1.967413442
8231,5.333333333,4.666666667,4.5,2,1,2,0,1,2,0,0.004801097,-0.026639344,0.019791667,0,0,-2.046843177,-2.967413442
8234,7,7,3,3,0,4,1,0,3,1,1.671467764,2.306693989,-1.480208333,0,0,-1.046843177,-1.967413442
8274,3.666666667,4.666666667,5.375,5,0,4,1,1,6,1,-1.661865569,-0.026639344,0.894791667,1,1,0.953156823,1.032586558
8238,4.666666667,5,4.125,5,1,4,1,0,5,0,-0.661865569,0.306693989,-0.355208333,1,1,0.953156823,0.032586558
8240,5.666666667,7,4.625,5,1,5,1,0,5,1,0.338134431,2.306693989,0.144791667,1,1,0.953156823,0.032586558
8244,4,4.666666667,3.5,5,1,6,1,1,6,1,-1.328532236,-0.026639344,-0.980208333,1,1,0.953156823,1.032586558
8246,6.333333333,5.333333333,4.480208333,7,1,7,0,1,7,1,1.004801097,0.640027322,-3.33E-10,1,1,2.953156823,2.032586558
8247,6.666666667,6,5.375,5,1,7,0,0,6,0,1.338134431,1.306693989,0.894791667,1,1,0.953156823,1.032586558
8250,5.666666667,2.333333333,4.125,6,0,4,1,1,7,1,0.338134431,-2.359972678,-0.355208333,1,1,1.953156823,2.032586558
8255,5,4.666666667,4.625,5,0,6,1,1,5,1,-0.328532236,-0.026639344,0.144791667,1,1,0.953156823,0.032586558
8261,5,5,5.375,6,0,4,0,1,5,0,-0.328532236,0.306693989,0.894791667,1,1,1.953156823,0.032586558
8262,3.666666667,4,4.375,5,1,5,1,1,5,0,-1.661865569,-0.693306011,-0.105208333,1,1,0.953156823,0.032586558
8264,7,7,5.875,5,1,6,0,1,6,1,1.671467764,2.306693989,1.394791667,1,1,0.953156823,1.032586558
8267,5.666666667,6.333333333,4.480208333,2,0,3,0,0,3,0,0.338134431,1.640027322,-3.33E-10,0,0,-2.046843177,-1.967413442
8270,6.333333333,5,3.75,4,0,5,1,0,6,1,1.004801097,0.306693989,-0.730208333,0,1,-0.046843177,1.032586558
8278,6.333333333,4.333333333,4.480208333,4,0,4,1,1,4,0,1.004801097,-0.359972678,-3.33E-10,0,0,-0.046843177,-0.967413442
8287,6.333333333,2.666666667,2.25,2,0,2,0,0,2,0,1.004801097,-2.026639344,-2.230208333,0,0,-2.046843177,-2.967413442
8288,6.333333333,3,5.5,5,1,3,1,1,4,0,1.004801097,-1.693306011,1.019791667,1,0,0.953156823,-0.967413442
8290,6,6.666666667,4.125,1,0,2,0,1,6,1,0.671467764,1.973360656,-0.355208333,0,1,-3.046843177,1.032586558
8292,6.333333333,6.333333333,5.75,6,1,5,1,0,6,0,1.004801097,1.640027322,1.269791667,1,1,1.953156823,1.032586558
8296,6.666666667,5,4.125,6,1,4,1,1,6,1,1.338134431,0.306693989,-0.355208333,1,1,1.953156823,1.032586558
8297,6.666666667,6,5.875,2,0,3,0,1,6,0,1.338134431,1.306693989,1.394791667,0,1,-2.046843177,1.032586558
8302,5.666666667,4,4.25,2,1,5,0,0,3,0,0.338134431,-0.693306011,-0.230208333,0,0,-2.046843177,-1.967413442
8306,5.666666667,4.333333333,5.25,6,0,4,0,1,5,0,0.338134431,-0.359972678,0.769791667,1,1,1.953156823,0.032586558
8308,5.666666667,5,1.875,7,0,7,1,0,7,0,0.338134431,0.306693989,-2.605208333,1,1,2.953156823,2.032586558
8317,5,4.333333333,3.25,1,1,6,0,1,5,0,-0.328532236,-0.359972678,-1.230208333,0,1,-3.046843177,0.032586558
8318,7,3.666666667,4.75,5,0,6,1,1,5,1,1.671467764,-1.026639344,0.269791667,1,1,0.953156823,0.032586558
8325,7,4.333333333,5.75,6,0,3,1,1,5,0,1.671467764,-0.359972678,1.269791667,1,1,1.953156823,0.032586558
8335,5.333333333,4.333333333,5.375,5,0,6,0,1,7,1,0.004801097,-0.359972678,0.894791667,1,1,0.953156823,2.032586558
8339,6.333333333,3,5,3,0,3,0,1,7,1,1.004801097,-1.693306011,0.519791667,0,1,-1.046843177,2.032586558
8340,6.666666667,7,6,6,0,4,0,0,6,0,1.338134431,2.306693989,1.519791667,1,1,1.953156823,1.032586558
8343,6,5.666666667,5.875,6,1,6,1,1,5,0,0.671467764,0.973360656,1.394791667,1,1,1.953156823,0.032586558
8344,7,5.666666667,4.480208333,4,1,5,1,1,7,0,1.671467764,0.973360656,-3.33E-10,0,1,-0.046843177,2.032586558
8345,5.666666667,3.666666667,3.875,4,1,4,1,0,4,0,0.338134431,-1.026639344,-0.605208333,0,0,-0.046843177,-0.967413442
8351,2.666666667,3.666666667,1.875,4,1,2,1,0,7,1,-2.661865569,-1.026639344,-2.605208333,0,1,-0.046843177,2.032586558
8352,5.666666667,4.333333333,5.5,7,1,7,0,0,7,1,0.338134431,-0.359972678,1.019791667,1,1,2.953156823,2.032586558
8358,5.666666667,3,5.25,5,0,7,0,0,2,0,0.338134431,-1.693306011,0.769791667,1,0,0.953156823,-2.967413442
8369,5.666666667,5.666666667,2.875,3,1,4,1,0,3,1,0.338134431,0.973360656,-1.605208333,0,0,-1.046843177,-1.967413442
8377,5.333333333,2.333333333,5.125,5,0,5,0,1,5,1,0.004801097,-2.359972678,0.644791667,1,1,0.953156823,0.032586558
8380,5.666666667,3,4.5,4,0,7,0,0,6,0,0.338134431,-1.693306011,0.019791667,0,1,-0.046843177,1.032586558
8385,6.333333333,4.333333333,5.875,2,0,6,1,1,4,0,1.004801097,-0.359972678,1.394791667,0,0,-2.046843177,-0.967413442
8386,4.333333333,4.666666667,3.25,6,1,3,0,1,5,0,-0.995198903,-0.026639344,-1.230208333,1,1,1.953156823,0.032586558
8404,7,6,5.375,5,0,6,0,1,4,0,1.671467764,1.306693989,0.894791667,1,0,0.953156823,-0.967413442
8413,6,4.333333333,6.125,5,1,5,0,1,7,1,0.671467764,-0.359972678,1.644791667,1,1,0.953156823,2.032586558
8420,6,5,5.5,7,1,7,0,0,7,1,0.671467764,0.306693989,1.019791667,1,1,2.953156823,2.032586558
8427,4,4.333333333,4.5,4,1,4,1,1,5,1,-1.328532236,-0.359972678,0.019791667,0,1,-0.046843177,0.032586558
8428,5.666666667,5,3.75,4,0,4,0,1,4,1,0.338134431,0.306693989,-0.730208333,0,0,-0.046843177,-0.967413442
8429,6,5.666666667,4.125,5,0,6,0,1,6,1,0.671467764,0.973360656,-0.355208333,1,1,0.953156823,1.032586558
8439,7,4,4.625,2,0,6,0,1,6,0,1.671467764,-0.693306011,0.144791667,0,1,-2.046843177,1.032586558
8441,4,4,4.375,1,1,3,1,0,1,1,-1.328532236,-0.693306011,-0.105208333,0,0,-3.046843177,-3.967413442
8442,7,6.666666667,4.75,4,0,5,1,0,5,1,1.671467764,1.973360656,0.269791667,0,1,-0.046843177,0.032586558
8448,6.333333333,6,5.125,5,0,4,0,0,4,0,1.004801097,1.306693989,0.644791667,1,0,0.953156823,-0.967413442
8450,5.333333333,6.333333333,3.875,7,1,3,0,1,7,0,0.004801097,1.640027322,-0.605208333,1,1,2.953156823,2.032586558
8451,5.333333333,3,5,5,1,6,0,1,5,0,0.004801097,-1.693306011,0.519791667,1,1,0.953156823,0.032586558
8453,6,4.666666667,4.625,5,0,5,1,1,5,0,0.671467764,-0.026639344,0.144791667,1,1,0.953156823,0.032586558
