lfdn,inv_app,inv_dl,inv_cat,y_pop,x_pop,comp_pop,man_check_pop,inv_app_mc,inv_dl_mc,inv_cat_mc
8014,5.333333333,3.666666667,4.125,4,1,0,1,0.004801097,-1.026639344,-0.355208333
8015,3.666666667,5.333333333,3.25,4,1,1,1,-1.661865569,0.640027322,-1.230208333
8016,4.666666667,4.333333333,3.25,4,0,1,1,-0.661865569,-0.359972678,-1.230208333
8017,5.333333333,5.333333333,4.875,3,1,1,1,0.004801097,0.640027322,0.394791667
8018,5,4.666666667,4.625,4,0,1,1,-0.328532236,-0.026639344,0.144791667
8019,5.666666667,4,4.875,6,0,1,0,0.338134431,-0.693306011,0.394791667
8020,6.666666667,3.333333333,5.5,7,1,1,0,1.338134431,-1.359972678,1.019791667
8021,6,5.666666667,4.625,6,0,0,1,0.671467764,0.973360656,0.144791667
8023,5.333333333,4,4.375,6,0,0,1,0.004801097,-0.693306011,-0.105208333
8024,5.666666667,3,4.625,2,0,1,0,0.338134431,-1.693306011,0.144791667
8026,6.666666667,2,3.125,1,0,1,1,1.338134431,-2.693306011,-1.355208333
8027,6.333333333,3.333333333,4.125,2,0,1,1,1.004801097,-1.359972678,-0.355208333
8028,6,3.666666667,3.875,7,1,1,1,0.671467764,-1.026639344,-0.605208333
8029,5,6,4,4,0,0,0,-0.328532236,1.306693989,-0.480208333
8030,5.666666667,5.333333333,4.5,5,1,0,1,0.338134431,0.640027322,0.019791667
8031,4.666666667,4.333333333,4.875,7,0,1,1,-0.661865569,-0.359972678,0.394791667
8032,4.666666667,6,4,5,1,0,1,-0.661865569,1.306693989,-0.480208333
8033,6,4,3.125,6,1,0,0,0.671467764,-0.693306011,-1.355208333
8034,6.333333333,5,2.625,3,0,0,1,1.004801097,0.306693989,-1.855208333
8036,6,4.333333333,4.625,6,1,1,1,0.671467764,-0.359972678,0.144791667
8037,4.333333333,4,4.625,4,0,1,1,-0.995198903,-0.693306011,0.144791667
8038,3.666666667,7,4.5,2,0,1,0,-1.661865569,2.306693989,0.019791667
8039,4.333333333,7,3.625,1,1,0,0,-0.995198903,2.306693989,-0.855208333
8040,4.333333333,3,4.75,4,0,1,0,-0.995198903,-1.693306011,0.269791667
