lfdn,i,y_i,x_i,man_check_i,inv_app_mc,inv_dl_mc,inv_cat_mc,n,y_i_mc,i_name,n_name,x_i_name
7969,3,6,0,1,-2.328532236,-1.026639344,-1.105208333,2,1.032586558,brand,second,low
7970,1,1,1,1,1.671467764,0.306693989,-1.230208333,2,-3.046843177,rep,second,high
7970,2,5,1,0,1.671467764,0.306693989,-1.230208333,3,0.474541752,pop,third,high
7970,3,7,1,1,1.671467764,0.306693989,-1.230208333,1,2.032586558,brand,first,high
7971,1,1,0,1,-5.328532236,-4.693306011,-0.355208333,1,-3.046843177,rep,first,low
7971,2,5,0,0,-5.328532236,-4.693306011,-0.355208333,3,0.474541752,pop,third,low
7971,3,4,1,1,-5.328532236,-4.693306011,-0.355208333,2,-0.967413442,brand,second,high
7972,1,3,1,0,-0.995198903,0.306693989,-0.730208333,2,-1.046843177,rep,second,high
7972,2,5,0,0,-0.995198903,0.306693989,-0.730208333,1,0.474541752,pop,first,low
7972,3,4,0,1,-0.995198903,0.306693989,-0.730208333,3,-0.967413442,brand,third,low
7974,1,2,1,1,0.338134431,1.306693989,1.894791667,3,-2.046843177,rep,third,high
7974,2,4,1,1,0.338134431,1.306693989,1.894791667,2,-0.525458248,pop,second,high
7974,3,7,1,1,0.338134431,1.306693989,1.894791667,1,2.032586558,brand,first,high
7975,1,4,0,1,1.004801097,1.306693989,1.519791667,2,-0.046843177,rep,second,low
7975,2,7,1,1,1.004801097,1.306693989,1.519791667,3,2.474541752,pop,third,high
7975,3,6,0,0,1.004801097,1.306693989,1.519791667,1,1.032586558,brand,first,low
7976,1,4,1,0,0.004801097,-0.026639344,1.519791667,3,-0.046843177,rep,third,high
7976,2,6,1,0,0.004801097,-0.026639344,1.519791667,1,1.474541752,pop,first,high
7976,3,7,1,1,0.004801097,-0.026639344,1.519791667,2,2.032586558,brand,second,high
7977,1,4,1,0,-2.661865569,-1.026639344,0.144791667,3,-0.046843177,rep,third,high
7977,2,4,1,1,-2.661865569,-1.026639344,0.144791667,1,-0.525458248,pop,first,high
7977,3,4,1,0,-2.661865569,-1.026639344,0.144791667,2,-0.967413442,brand,second,high
7978,1,3,1,1,-0.328532236,-0.359972678,-0.605208333,1,-1.046843177,rep,first,high
7978,2,2,1,0,-0.328532236,-0.359972678,-0.605208333,3,-2.525458248,pop,third,high
7978,3,5,1,0,-0.328532236,-0.359972678,-0.605208333,2,0.032586558,brand,second,high
7979,1,3,0,1,0.004801097,1.973360656,-0.480208333,3,-1.046843177,rep,third,low
7979,2,4,1,1,0.004801097,1.973360656,-0.480208333,1,-0.525458248,pop,first,high
7979,3,4,0,1,0.004801097,1.973360656,-0.480208333,2,-0.967413442,brand,second,low
7980,1,5,0,1,0.338134431,-0.026639344,-0.605208333,3,0.953156823,rep,third,low
7980,2,6,1,0,0.338134431,-0.026639344,-0.605208333,1,1.474541752,pop,first,high
7980,3,6,0,1,0.338134431,-0.026639344,-0.605208333,2,1.032586558,brand,second,low
7981,1,4,1,1,1.338134431,-1.359972678,2.519791667,3,-0.046843177,rep,third,high
7981,2,3,0,1,1.338134431,-1.359972678,2.519791667,1,-1.525458248,pop,first,low
7981,3,1,1,0,1.338134431,-1.359972678,2.519791667,2,-3.967413442,brand,second,high
7982,1,7,1,1,0.671467764,-0.693306011,-0.105208333,1,2.953156823,rep,first,high
7982,2,6,0,1,0.671467764,-0.693306011,-0.105208333,3,1.474541752,pop,third,low
7982,3,6,1,1,0.671467764,-0.693306011,-0.105208333,2,1.032586558,brand,second,high
7983,1,2,0,1,0.671467764,0.306693989,1.519791667,3,-2.046843177,rep,third,low
7983,2,4,0,1,0.671467764,0.306693989,1.519791667,1,-0.525458248,pop,first,low
7983,3,6,1,1,0.671467764,0.306693989,1.519791667,2,1.032586558,brand,second,high
7984,1,3,1,1,-2.661865569,-0.026639344,0.894791667,3,-1.046843177,rep,third,high
7984,2,5,0,0,-2.661865569,-0.026639344,0.894791667,2,0.474541752,pop,second,low
7984,3,6,1,1,-2.661865569,-0.026639344,0.894791667,1,1.032586558,brand,first,high
7985,1,3,0,1,0.338134431,-1.359972678,0.644791667,3,-1.046843177,rep,third,low
7985,2,7,0,1,0.338134431,-1.359972678,0.644791667,1,2.474541752,pop,first,low
7985,3,6,0,1,0.338134431,-1.359972678,0.644791667,2,1.032586558,brand,second,low
7987,1,6,0,1,0.004801097,0.306693989,-0.230208333,3,1.953156823,rep,third,low
7987,2,5,0,1,0.004801097,0.306693989,-0.230208333,1,0.474541752,pop,first,low
7987,3,6,0,1,0.004801097,0.306693989,-0.230208333,2,1.032586558,brand,second,low
7988,1,6,0,1,0.671467764,0.973360656,0.519791667,3,1.953156823,rep,third,low
7988,2,6,0,1,0.671467764,0.973360656,0.519791667,2,1.474541752,pop,second,low
7988,3,5,0,1,0.671467764,0.973360656,0.519791667,1,0.032586558,brand,first,low
7989,1,6,0,0,1.338134431,-0.359972678,-1.980208333,2,1.953156823,rep,second,low
7989,2,6,1,0,1.338134431,-0.359972678,-1.980208333,3,1.474541752,pop,third,high
7989,3,6,1,1,1.338134431,-0.359972678,-1.980208333,1,1.032586558,brand,first,high
7990,1,2,0,1,-2.328532236,-0.693306011,-1.605208333,1,-2.046843177,rep,first,low
7990,2,6,0,1,-2.328532236,-0.693306011,-1.605208333,3,1.474541752,pop,third,low
7990,3,5,0,0,-2.328532236,-0.693306011,-1.605208333,2,0.032586558,brand,second,low
7991,1,4,1,1,-0.995198903,-0.693306011,-0.105208333,1,-0.046843177,rep,first,high
7991,2,5,1,1,-0.995198903,-0.693306011,-0.105208333,2,0.474541752,pop,second,high
7991,3,4,1,0,-0.995198903,-0.693306011,-0.105208333,3,-0.967413442,brand,third,high
7992,1,4,1,1,-0.328532236,-0.359972678,0.144791667,3,-0.046843177,rep,third,high
7992,2,4,1,1,-0.328532236,-0.359972678,0.144791667,2,-0.525458248,pop,second,high
7992,3,5,1,1,-0.328532236,-0.359972678,0.144791667,1,0.032586558,brand,first,high
7993,1,3,0,1,0.004801097,-0.026639344,0.269791667,2,-1.046843177,rep,second,low
7993,2,3,1,1,0.004801097,-0.026639344,0.269791667,1,-1.525458248,pop,first,high
7993,3,4,0,1,0.004801097,-0.026639344,0.269791667,3,-0.967413442,brand,third,low
7994,1,6,0,1,0.671467764,0.973360656,-0.230208333,2,1.953156823,rep,second,low
7994,2,6,0,1,0.671467764,0.973360656,-0.230208333,1,1.474541752,pop,first,low
7994,3,6,1,1,0.671467764,0.973360656,-0.230208333,3,1.032586558,brand,third,high
7995,1,5,1,1,0.004801097,1.640027322,-0.605208333,1,0.953156823,rep,first,high
7995,2,6,0,0,0.004801097,1.640027322,-0.605208333,3,1.474541752,pop,third,low
7995,3,7,1,1,0.004801097,1.640027322,-0.605208333,2,2.032586558,brand,second,high
7996,1,1,1,1,0.004801097,-3.693306011,-0.480208333,3,-3.046843177,rep,third,high
7996,2,7,0,0,0.004801097,-3.693306011,-0.480208333,2,2.474541752,pop,second,low
7996,3,7,1,1,0.004801097,-3.693306011,-0.480208333,1,2.032586558,brand,first,high
7997,1,6,0,0,-1.995198903,-0.359972678,0.019791667,2,1.953156823,rep,second,low
7997,2,6,0,0,-1.995198903,-0.359972678,0.019791667,1,1.474541752,pop,first,low
7997,3,6,1,0,-1.995198903,-0.359972678,0.019791667,3,1.032586558,brand,third,high
7998,1,4,1,1,0.338134431,-0.359972678,-0.605208333,3,-0.046843177,rep,third,high
7998,2,4,1,1,0.338134431,-0.359972678,-0.605208333,1,-0.525458248,pop,first,high
7998,3,4,1,0,0.338134431,-0.359972678,-0.605208333,2,-0.967413442,brand,second,high
7999,1,6,1,1,0.671467764,0.973360656,-0.480208333,1,1.953156823,rep,first,high
7999,2,3,1,0,0.671467764,0.973360656,-0.480208333,2,-1.525458248,pop,second,high
7999,3,7,1,1,0.671467764,0.973360656,-0.480208333,3,2.032586558,brand,third,high
8001,1,2,1,0,-1.661865569,-1.693306011,-4.480208333,2,-2.046843177,rep,second,high
8001,2,3,1,1,-1.661865569,-1.693306011,-4.480208333,3,-1.525458248,pop,third,high
8001,3,4,1,1,-1.661865569,-1.693306011,-4.480208333,1,-0.967413442,brand,first,high
8002,1,4,0,1,0.671467764,-0.026639344,0.519791667,1,-0.046843177,rep,first,low
8002,2,4,0,1,0.671467764,-0.026639344,0.519791667,3,-0.525458248,pop,third,low
8002,3,4,0,1,0.671467764,-0.026639344,0.519791667,2,-0.967413442,brand,second,low
8003,1,4,1,0,-2.661865569,-0.693306011,-1.105208333,3,-0.046843177,rep,third,high
8003,2,4,0,0,-2.661865569,-0.693306011,-1.105208333,2,-0.525458248,pop,second,low
8003,3,4,1,0,-2.661865569,-0.693306011,-1.105208333,1,-0.967413442,brand,first,high
8004,1,5,1,0,-0.661865569,-0.359972678,0.019791667,1,0.953156823,rep,first,high
8004,2,4,1,0,-0.661865569,-0.359972678,0.019791667,3,-0.525458248,pop,third,high
8004,3,6,1,1,-0.661865569,-0.359972678,0.019791667,2,1.032586558,brand,second,high
8005,1,2,0,0,0.338134431,-0.693306011,0.769791667,3,-2.046843177,rep,third,low
8005,2,5,0,0,0.338134431,-0.693306011,0.769791667,2,0.474541752,pop,second,low
8005,3,4,0,1,0.338134431,-0.693306011,0.769791667,1,-0.967413442,brand,first,low
